FRAME Reviewer Summary Table v2 
(with DT)

DT Values:
STRUCTURAL — ontology gap
BOUNDARY — scenario ambiguity
EXPECTED — irreducible judgment
NO‑ISSUE — unanimous or near‑unanimous 
-- cat: 1 or fewer votes are different from the other votes
-- other columns: 1 or fewer votes within +/-1 of center

#### Scenario 1

| Field | Ely | Copilot | Claude | ChatGPT | Gemini | Center | Spread | DT
| Field | Ely | Copilot | Claude | ChatGPT | Gemini | Center | Spread | DT
| --- | --- | --- | --- | --- | --- | --- | ---      |
| **cat** | 1 | C3 | 1 | C2 | C2 | multi | 1×2, C2×2, C3×1 | B
| **mr** | 3 | 1 | 0 | 2 | 0 | 1 | min 0, max 3      | E
| **mp** | 2 | 3 | 2 | 2 | 2 | 2 | min 2, max 3      | N
| **m**  | 4 | 2 | 2 | 4 | 2 | 2 | min 2, max 4      | E
| **c**  | 3 | 2 | 2 | 1 | 1 | 2 | min 1, max 3      | E
| **s**  | 2 | 2 | 1 | 2 | 1 | 2 | min 1, max 2      | E
| **n**  | 0 | 1 | 0 | 0 | 1 | 0 | range 1           | S
| **b**  | 2 | 0 | 0 | 1 | 1 | multi {0,1} | range 2 | S
| **ec** | 1 | 3 | 1 | 1 | 1 | 1 | min 1, max 3      | E
| **ac** | 4 | 3 | 3 | 4 | 4 | 4 | min 3, max 4      | N
| **dd** | 1 | 3 | 1 | 4 | 1 | 1 | min 1, max 4      | E

